Adobe After Effects 8.0 Keyframe Data

	Units Per Second	24
	Source Width	640
	Source Height	480
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	Puppet #2	arap #3	Mesh	Mesh #1	Deform	Pin #1	Position
	Frame	X pixels	Y pixels
	0	314.57858	47.88698
	1	317.27582	47.432983
	2	319.92874	47.240173
	3	322.63373	46.91716
	4	327.45306	47.501617
	5	329.61856	47.60205
	6	331.979	46.79988
	7	333.95026	47.20706
	8	337.68985	45.64441
	9	338.77307	46.124664
	10	339.65665	46.966415
	11	340.60437	47.05899
	12	341.22644	46.416122
	13	341.2823	46.621246
	14	341.50854	46.601334
	15	341.45276	46.664444
	16	341.41788	45.74901
	17	341.62128	45.31842
	18	341.34244	45.1149
	19	341.0463	45.04564
	20	339.64886	44.40497
	21	338.67853	43.708878
	22	338.16663	42.683853
	23	336.72714	42.451843
	24	332.9807	41.672943
	25	330.9745	43.006607
	26	328.8698	43.445786
	27	327.25793	43.95616
	28	322.74634	43.531403
	29	320.2265	44.647766
	30	318.06317	43.581985
	31	316.4193	44.82338
	32	312.67172	46.138565
	33	310.83487	46.01941
	34	309.56772	46.331436
	35	308.07883	46.956406
	36	305.56802	47.664566
	37	304.86948	48.17079
	38	303.64044	47.6248
	39	302.9119	48.32556
	40	301.97827	48.489944
	41	301.1916	47.83467
	42	299.69104	46.71115
	43	298.93658	46.946304
	44	297.7821	46.05043
	45	296.8563	47.074234
	46	296.118	47.50212
	47	295.7383	47.733
	48	294.66135	47.75981
	49	294.01822	47.71791
	50	293.42297	48.337265
	51	292.75656	47.740677
	52	291.56406	47.706528
	53	291.47067	47.433456
	54	291.22464	48.19162
	55	290.89496	47.93062
	56	290.99146	47.943497
	57	291.39838	48.21779
	58	291.5273	47.887695
	59	291.18796	47.28003
	60	290.37857	47.79605
	61	289.81802	48.143433
	62	289.60278	48.512543
	63	288.85138	48.65036
	64	288.33865	48.36061
	65	287.89557	48.623596
	66	287.93503	48.46495
	67	288.10587	48.98845
	68	288.44153	49.111786
	69	288.43866	48.95381
	70	288.7035	48.31122
	71	289.26215	47.560394
	72	290.2134	47.30902
	73	290.00815	47.80455
	74	290.24988	48.009247
	75	290.2753	48.593246
	76	290.48935	47.890594
	77	290.6801	47.903534
	78	291.2133	47.692123
	79	291.53165	47.78775
	80	291.56628	47.972137
	81	291.85297	48.85428
	82	292.4404	49.274734
	83	292.43573	49.160675
	84	292.25684	49.294006
	85	292.1588	49.11548
	86	291.65228	48.544785
	87	291.83035	49.675735
	88	292.6313	50.2536
	89	292.97662	50.0215
	90	293.5652	49.54399
	91	293.81387	49.424744
	92	295.09323	49.13037
	93	295.55817	48.521225
	94	295.75592	48.72699
	95	296.17035	48.31079
	96	295.77222	48.17134
	97	295.79184	47.625
	98	295.66583	48.70256
	99	295.70255	48.691025
	100	295.8967	48.209305
	101	296.23993	48.214233
	102	296.4216	47.655624
	103	296.41138	47.985016
	104	296.9443	47.83989
	105	297.73584	47.782745
	106	298.35492	47.928802
	107	298.81625	47.9991
	108	299.06693	47.560257
	109	299.2656	47.485504
	110	298.8608	47.833298
	111	298.86337	48.53743
	112	298.9013	48.504776
	113	299.06155	48.11818
	114	299.3775	48.03044
	115	299.50006	48.424698
	116	299.28848	48.449127
	117	298.45398	48.641327
	118	297.53546	47.907516
	119	297.00113	47.743835
	120	295.8232	48.075928
	121	295.23422	48.22879
	122	294.77457	48.418365
	123	294.11053	49.04619
	124	292.80762	49.11998
	125	292.57227	48.623596
	126	292.26453	48.801376
	127	292.06903	48.674744
	128	291.52606	48.21219
	129	291.59113	48.18518
	130	291.27307	47.78984
	131	291.31482	47.555145
	132	291.00537	48.312134
	133	291.09546	48.389694
	134	290.66592	48.334366
	135	290.91705	48.107132
	136	291.07898	49.263947
	137	290.5844	49.634384
	138	290.92847	49.87448
	139	290.89767	50.049606
	140	290.93323	49.96768
	141	290.7828	49.473633
	142	290.57077	48.749893
	143	289.8591	48.387817
	144	289.11096	48.221786
	145	288.55807	48.090485
	146	287.89764	47.775436
	147	287.42377	47.732834
	148	286.2426	47.842316
	149	285.89966	47.818146
	150	285.48718	46.98465
	151	284.9336	46.958084

Effects	Puppet #2	arap #3	Mesh	Mesh #1	Deform	Pin #2	Position
	Frame	X pixels	Y pixels
	0	318.49118	110.01529
	1	321.18097	109.62457
	2	323.66425	108.94461
	3	325.9416	108.282715
	4	330.85095	108.64601
	5	332.94196	108.51036
	6	334.9336	108.30817
	7	336.9538	108.88608
	8	340.00543	107.73558
	9	341.10074	108.06729
	10	342.1587	109.66844
	11	343.09625	110.017456
	12	343.93832	109.72441
	13	344.10416	110.36177
	14	344.0725	110.00018
	15	344.1325	110.30646
	16	343.97424	109.02446
	17	343.87454	108.40718
	18	343.6939	107.76376
	19	343.49472	107.40932
	20	342.08948	107.31497
	21	341.24692	108.0974
	22	340.5584	106.53537
	23	338.99414	105.91763
	24	335.3334	105.20538
	25	333.22037	106.28691
	26	331.2001	106.81685
	27	329.41025	107.14859
	28	324.67056	107.67708
	29	322.26752	108.50458
	30	320.30847	108.37079
	31	318.1841	109.7267
	32	314.1847	111.21518
	33	312.25256	110.927704
	34	310.47708	110.99414
	35	308.88	111.32248
	36	306.26788	111.54393
	37	305.42935	111.98297
	38	304.49698	111.959595
	39	303.7167	112.67469
	40	302.53622	112.876114
	41	301.87357	112.41131
	42	300.71832	111.44606
	43	299.8588	111.44826
	44	298.76913	111.05557
	45	297.96356	111.95134
	46	297.39758	111.96466
	47	296.98782	112.03213
	48	296.06274	111.62149
	49	295.57846	111.40921
	50	295.1011	111.69696
	51	294.60303	111.79782
	52	293.3905	111.97922
	53	293.22495	111.82774
	54	292.91803	112.4161
	55	292.5315	112.06078
	56	292.07623	111.69356
	57	292.27997	111.62685
	58	292.09918	111.30321
	59	291.9582	110.99655
	60	291.52756	110.798584
